playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id
Top 50 - Australia,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,False,88,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,2023-03-24,Luke Combs,718COspgdWOnwOFpJHRZHS
Top 50 - Australia,Feather,2Zo1PcszsT9WQ0ANntJbID,True,93,emails i can’t send fwd:,2g4aJTa5ejGpp0O0GKzWAQ,https://i.scdn.co/image/ab67616d0000b2730f45623be014a592a5815827,2023-03-17,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B
Top 50 - Australia,Riptide,3JvrhDOgAt6p7K8mDyZwRd,False,86,Dream Your Life Away (Special Edition),5S9b8euumqMhQbMk0zzQdH,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,2014-09-09,Vance Joy,10exVja0key0uqUkk6LJRT
Top 50 - Australia,exes,4E63weMCaNZuGPEFMnuEi8,True,91,THINK LATER,0OUOx6rJXtL66AzTnP9KUE,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,2023-12-08,Tate McRae,45dkTj5sMRSjrmBSBeiHym
Top 50 - Australia,leavemealone,7iUScoHKNJC5hqtA40vMlj,True,79,USB,1tIp3NC564c1P9njNFJAqS,https://i.scdn.co/image/ab67616d0000b2730920dda3769771de5ffd4578,2022-01-18,Fred again..,4oLeXFyACqeem2VImYeBFe
Top 50 - Australia,Daylight,1odExI7RdWc4BT515LTAwj,False,94,Daylight,6NcI39WPu4kY6Tul11nhSv,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,2023-04-14,David Kushner,33NVpKoXjItPwUJTMZIOiY
Top 50 - Australia,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,False,99,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,2023-09-15,Mitski,2uYWxilOVlUdk4oV9DvwqK
Top 50 - Australia,Murder on the Dance Floor - triple j Like A Version,1swz9stsbG1p34SJHJqiww,False,75,Murder on the Dancefloor (triple j Like A Version),02tTPri1bqHRdIwhz4gceP,https://i.scdn.co/image/ab67616d0000b2730a8c596f45b327dc30e0464c,2024-01-29,Royel Otis,5b5bt4mZQpJMoCRbiQ7diH
Top 50 - Australia,Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u,True,94,The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,https://i.scdn.co/image/ab67616d0000b273cae6e44dcc84e2035c3ad092,2022-10-31,JID,6U3ybJ9UHNKEdsH7ktGBZ7
Top 50 - Australia,Chemical,5w40ZYhbBMAlHYNDaVJIUu,True,87,Chemical,7qcSUc5Af63mhfTF60KTEA,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,2023-04-14,Post Malone,246dkjvS1zLTtiykXe5h60
Top 50 - Australia,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,False,95,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e,2023-07-13,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
